Level,District Code,District Name,School Name,Test,Grade,Number of Total Records,Number of Valid Scores,Number of No Scores,Participation Rate,Total Score Mean Score,Total Score Standard Deviation,Evidence-Based Reading & Writing Mean Score,Evidence-Based Reading & Writing Standard Deviation,Mathematics Mean Score,Mathematics Standard Deviation,Total Score Mean Score,Evidence-Based Reading & Writing Mean Score,Mathematics Mean Score,Total Score Mean Score,Evidence-Based Reading & Writing Mean Score,Mathematics Mean Score
DISTRICT,0560,SANFORD 6J,All Schools,SAT,11,      24,      24,       0,100.0,1034,142,525,80,509,70,1038,541,497,-4,-16,12
DISTRICT,0580,SOUTH CONEJOS RE-10,All Schools,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,0580,SOUTH CONEJOS RE-10,All Schools,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,0580,SOUTH CONEJOS RE-10,All Schools,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,0640,CENTENNIAL R-1,All Schools,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,774,387,386,- -,- -,- -
DISTRICT,0640,CENTENNIAL R-1,All Schools,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,0640,CENTENNIAL R-1,All Schools,SAT,11,      19,      17,       2,89.5,926,111,469,70,457,58,- -,- -,- -,- -,- -,- -
DISTRICT,0740,SIERRA GRANDE R-30,All Schools,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,851,421,430,- -,- -,- -
DISTRICT,0740,SIERRA GRANDE R-30,All Schools,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,0740,SIERRA GRANDE R-30,All Schools,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,957,497,460,- -,- -,- -
DISTRICT,0770,CROWLEY COUNTY RE-1-J,All Schools,PSAT,09,      36,      36,       0,100.0,869,143,446,78,423,72,849,427,422,20,19,1
DISTRICT,0770,CROWLEY COUNTY RE-1-J,All Schools,PSAT,10,      24,      24,       0,100.0,891,116,453,76,438,52,854,428,426,37,25,12
DISTRICT,0770,CROWLEY COUNTY RE-1-J,All Schools,SAT,11,      30,      26,       4,86.7,854,165,438,88,416,84,968,490,478,-114,-52,-62
DISTRICT,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,All Schools,PSAT,09,      24,      23,       1,95.8,912,111,460,64,452,60,895,454,441,17,6,11
DISTRICT,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,All Schools,PSAT,10,      29,      29,       0,100.0,907,146,458,75,448,81,895,460,435,12,-2,13
DISTRICT,0860,CUSTER COUNTY SCHOOL DISTRICT C-1,All Schools,SAT,11,      30,      30,       0,100.0,974,148,492,87,482,74,1005,507,498,-31,-15,-16
DISTRICT,0870,DELTA COUNTY 50(J),All Schools,PSAT,09,     361,     350,      11,97.0,888,156,453,86,435,81,887,448,439,1,5,-4
DISTRICT,0870,DELTA COUNTY 50(J),All Schools,PSAT,10,     350,     345,       5,98.6,906,164,460,96,445,78,915,465,451,-9,-5,-6
DISTRICT,0870,DELTA COUNTY 50(J),All Schools,SAT,11,     321,     310,      11,96.6,955,184,487,98,467,97,981,502,480,-26,-15,-13
DISTRICT,0880,DENVER COUNTY 1,All Schools,PSAT,09,"   6,696","   6,314",     382,94.3,868,188,436,96,432,101,860,429,431,8,7,1
DISTRICT,0880,DENVER COUNTY 1,All Schools,PSAT,10,"   5,928","   5,560",     368,93.8,911,194,458,104,454,101,912,462,451,-1,-4,3
DISTRICT,0880,DENVER COUNTY 1,All Schools,SAT,11,"   5,335","   5,049",     286,94.6,968,208,486,106,482,111,975,491,483,-7,-5,-1
DISTRICT,0890,DOLORES COUNTY RE NO.2,All Schools,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,809,427,382,- -,- -,- -
DISTRICT,0890,DOLORES COUNTY RE NO.2,All Schools,PSAT,10,      22,      20,       2,90.9,843,105,450,63,394,66,- -,- -,- -,- -,- -,- -
DISTRICT,0890,DOLORES COUNTY RE NO.2,All Schools,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,0900,DOUGLAS COUNTY RE 1,All Schools,PSAT,09,"   5,073","   4,706",     367,92.8,967,158,489,86,478,84,963,486,477,4,3,1
DISTRICT,0900,DOUGLAS COUNTY RE 1,All Schools,PSAT,10,"   5,025","   4,616",     409,91.9,998,172,509,93,490,90,1015,514,501,-17,-5,-11
DISTRICT,0900,DOUGLAS COUNTY RE 1,All Schools,SAT,11,"   4,795","   4,546",     249,94.8,1084,191,544,95,540,105,1088,547,541,-4,-3,-1
DISTRICT,0910,EAGLE COUNTY RE 50,All Schools,PSAT,09,     574,     561,      13,97.7,888,161,447,85,441,86,878,443,435,10,4,6
DISTRICT,0910,EAGLE COUNTY RE 50,All Schools,PSAT,10,     533,     507,      26,95.1,907,171,463,98,444,82,926,473,453,-19,-10,-9
DISTRICT,0910,EAGLE COUNTY RE 50,All Schools,SAT,11,     523,     489,      34,93.5,974,188,494,100,480,98,986,502,484,-12,-8,-4
DISTRICT,0920,ELIZABETH SCHOOL DISTRICT,All Schools,PSAT,09,     180,     137,      43,76.1,889,149,445,85,444,74,919,466,453,-30,-21,-9
DISTRICT,0920,ELIZABETH SCHOOL DISTRICT,All Schools,PSAT,10,     152,     123,      29,80.9,925,176,469,102,455,83,945,488,457,-20,-19,-2
DISTRICT,0920,ELIZABETH SCHOOL DISTRICT,All Schools,SAT,11,     190,     164,      26,86.3,1001,171,507,89,494,95,999,507,492,2,0,2
DISTRICT,0930,KIOWA C-2,All Schools,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,847,429,418,- -,- -,- -
DISTRICT,0930,KIOWA C-2,All Schools,PSAT,10,      22,      21,       1,95.5,830,132,428,83,401,62,971,497,474,-141,-69,-73
DISTRICT,0930,KIOWA C-2,All Schools,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
DISTRICT,0940,BIG SANDY 100J,All Schools,PSAT,09,      23,      22,       1,95.7,886,128,436,75,450,64,874,439,435,12,-3,15
DISTRICT,0940,BIG SANDY 100J,All Schools,PSAT,10,      22,      22,       0,100.0,912,115,462,77,450,54,969,484,485,-57,-22,-35
DISTRICT,0940,BIG SANDY 100J,All Schools,SAT,11,      22,      21,       1,95.5,1010,199,496,106,514,102,1006,506,500,4,-10,14
DISTRICT,0950,ELBERT 200,All Schools,PSAT,09,      20,      17,       3,85.0,902,152,453,78,449,82,869,449,420,33,4,29
DISTRICT,0950,ELBERT 200,All Schools,PSAT,10,      29,      25,       4,86.2,817,134,418,84,399,63,- -,- -,- -,- -,- -,- -
DISTRICT,0950,ELBERT 200,All Schools,SAT,11,      19,      18,       1,94.7,934,98,479,55,455,58,960,499,462,-26,-20,-7
DISTRICT,0960,AGATE 300,All Schools,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,NA,NA,NA,NA,NA,NA
DISTRICT,0960,AGATE 300,All Schools,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,NA,NA,NA,NA,NA,NA
DISTRICT,0970,CALHAN RJ-1,All Schools,PSAT,09,      37,      34,       3,91.9,848,134,431,78,417,72,851,437,414,-3,-6,3
DISTRICT,0970,CALHAN RJ-1,All Schools,PSAT,10,      40,      40,       0,100.0,888,133,455,80,434,63,877,444,433,11,11,1
DISTRICT,0970,CALHAN RJ-1,All Schools,SAT,11,      30,      29,       1,96.7,903,185,460,97,443,95,938,484,453,-35,-24,-10
DISTRICT,0980,HARRISON 2,All Schools,PSAT,09,     747,     720,      27,96.4,841,161,423,81,417,91,838,422,415,3,1,2
DISTRICT,0980,HARRISON 2,All Schools,PSAT,10,     666,     626,      40,94.0,877,156,445,88,432,79,875,450,425,2,-5,7
DISTRICT,0980,HARRISON 2,All Schools,SAT,11,     617,     586,      31,95.0,935,177,477,93,458,94,950,484,466,-15,-7,-8
DISTRICT,0990,WIDEFIELD 3,All Schools,PSAT,09,     645,     627,      18,97.2,862,154,439,82,424,83,875,442,433,-13,-3,-9
DISTRICT,0990,WIDEFIELD 3,All Schools,PSAT,10,     689,     652,      37,94.6,903,149,460,85,443,75,892,453,439,11,7,4
DISTRICT,0990,WIDEFIELD 3,All Schools,SAT,11,     630,     609,      21,96.7,943,161,479,84,464,89,957,480,477,-14,-1,-13
DISTRICT,1000,FOUNTAIN 8,All Schools,PSAT,09,     446,     431,      15,96.6,882,161,448,88,434,84,885,445,439,-3,3,-5
DISTRICT,1000,FOUNTAIN 8,All Schools,PSAT,10,     451,     436,      15,96.7,914,157,464,89,450,78,922,470,452,-8,-6,-2
DISTRICT,1000,FOUNTAIN 8,All Schools,SAT,11,     448,     437,      11,97.5,978,162,497,84,481,89,971,494,477,7,3,4
DISTRICT,1010,COLORADO SPRINGS 11,All Schools,PSAT,09,"   1,785","   1,714",      71,96.0,853,168,434,91,419,87,857,433,424,-4,1,-5
DISTRICT,1010,COLORADO SPRINGS 11,All Schools,PSAT,10,"   1,803","   1,692",     111,93.8,892,170,456,98,436,83,903,461,442,-11,-5,-6
DISTRICT,1010,COLORADO SPRINGS 11,All Schools,SAT,11,"   1,766","   1,616",     150,91.5,946,185,480,96,465,99,968,493,476,-22,-13,-11
DISTRICT,1020,CHEYENNE MOUNTAIN 12,All Schools,PSAT,09,     434,     409,      25,94.2,1061,165,532,85,529,91,1056,530,526,5,2,3
DISTRICT,1020,CHEYENNE MOUNTAIN 12,All Schools,PSAT,10,     367,     354,      13,96.5,1112,170,565,89,547,93,1099,554,545,13,11,2
DISTRICT,1020,CHEYENNE MOUNTAIN 12,All Schools,SAT,11,     358,     352,       6,98.3,1151,190,574,91,577,110,1181,591,590,-30,-17,-13
DISTRICT,1030,MANITOU SPRINGS 14,All Schools,PSAT,09,     127,     121,       6,95.3,971,155,489,83,482,84,936,470,465,35,19,17
DISTRICT,1030,MANITOU SPRINGS 14,All Schools,PSAT,10,     121,     111,      10,91.7,986,155,504,87,482,82,987,501,486,-1,3,-4
DISTRICT,1030,MANITOU SPRINGS 14,All Schools,SAT,11,     113,     106,       7,93.8,1061,179,543,91,517,99,1078,560,518,-17,-17,-1
