district_name,total_student_count,participation_rate,total,evidence_based_reading_writing,math
ELBERT 200,19.0,94.7,934.0,479.0,455.0
CALHAN RJ-1,30.0,96.7,903.0,460.0,443.0
HARRISON 2,88.0,98.9,980.0,498.0,482.0
HARRISON 2,242.0,95.9,906.0,465.0,441.0
HARRISON 2,25.0,76.0,810.0,407.0,403.0
HARRISON 2,87.0,100.0,1080.0,545.0,536.0
HARRISON 2,161.0,96.3,892.0,458.0,434.0
WIDEFIELD 3,310.0,96.5,955.0,484.0,470.0
WIDEFIELD 3,24.0,100.0,848.0,443.0,405.0
WIDEFIELD 3,295.0,96.6,940.0,476.0,463.0
FOUNTAIN 8,29.0,93.1,827.0,430.0,397.0
FOUNTAIN 8,416.0,97.8,988.0,502.0,486.0
COLORADO SPRINGS 11,65.0,81.5,902.0,474.0,428.0
COLORADO SPRINGS 11,43.0,100.0,836.0,430.0,406.0
COLORADO SPRINGS 11,36.0,100.0,1045.0,528.0,517.0
COLORADO SPRINGS 11,313.0,95.5,998.0,507.0,491.0
COLORADO SPRINGS 11,62.0,56.5,851.0,442.0,409.0
COLORADO SPRINGS 11,479.0,96.2,975.0,488.0,486.0
COLORADO SPRINGS 11,32.0,96.9,1012.0,522.0,490.0
COLORADO SPRINGS 11,44.0,97.7,821.0,424.0,396.0
COLORADO SPRINGS 11,52.0,30.8,725.0,378.0,348.0
COLORADO SPRINGS 11,304.0,93.1,857.0,436.0,421.0
COLORADO SPRINGS 11,334.0,94.3,977.0,499.0,479.0
CHEYENNE MOUNTAIN 12,307.0,98.4,1140.0,568.0,571.0
CHEYENNE MOUNTAIN 12,51.0,98.0,1218.0,608.0,610.0
MANITOU SPRINGS 14,113.0,93.8,1061.0,543.0,517.0
ACADEMY 20,340.0,96.8,1092.0,550.0,542.0
ACADEMY 20,45.0,82.2,1073.0,567.0,506.0
ACADEMY 20,25.0,100.0,924.0,478.0,446.0
ACADEMY 20,138.0,98.6,1142.0,572.0,570.0
ACADEMY 20,273.0,97.4,1091.0,547.0,544.0
ACADEMY 20,337.0,98.8,1047.0,534.0,513.0
ACADEMY 20,416.0,97.8,1099.0,556.0,544.0
ACADEMY 20,414.0,93.2,1052.0,532.0,520.0
ACADEMY 20,84.0,84.5,1155.0,588.0,566.0
ELLICOTT 22,60.0,98.3,931.0,465.0,466.0
PEYTON 23 JT,55.0,100.0,998.0,508.0,490.0
HANOVER 28,20.0,90.0,945.0,483.0,462.0
LEWIS-PALMER 38,279.0,90.7,1099.0,556.0,544.0
LEWIS-PALMER 38,279.0,93.9,1129.0,563.0,566.0
DISTRICT 49,63.0,92.1,984.0,508.0,477.0
DISTRICT 49,260.0,96.5,970.0,507.0,463.0
DISTRICT 49,871.0,78.0,824.0,428.0,395.0
DISTRICT 49,29.0,96.6,793.0,408.0,385.0
DISTRICT 49,19.0,94.7,1141.0,592.0,549.0
DISTRICT 49,250.0,93.6,950.0,486.0,465.0
DISTRICT 49,402.0,94.0,985.0,504.0,481.0
EDISON 54 JT,33.0,72.7,1178.0,600.0,578.0
MIAMI/YODER 60 JT,22.0,95.5,883.0,455.0,428.0
CANON CITY RE-1,219.0,96.8,931.0,477.0,453.0
FREMONT RE-2,82.0,95.1,903.0,467.0,437.0
COTOPAXI RE-3,21.0,100.0,984.0,488.0,496.0
ROARING FORK RE-1,114.0,93.9,996.0,487.0,509.0
ROARING FORK RE-1,213.0,94.8,1016.0,503.0,513.0
